product_id,product_name,price
0,product_0,22
1,product_1,35
2,product_2,146
3,product_3,17
4,product_4,66
5,product_5,31
6,product_6,127
7,product_7,116
8,product_8,121
9,product_9,98
10,product_10,54
11,product_11,25
12,product_12,125
13,product_13,8
14,product_14,100
15,product_15,111
16,product_16,1
17,product_17,115
18,product_18,69
19,product_19,59
20,product_20,27
21,product_21,82
22,product_22,8
23,product_23,6
24,product_24,7
25,product_25,139
26,product_26,3
27,product_27,98
28,product_28,56
29,product_29,109
30,product_30,8
31,product_31,136
32,product_32,57
33,product_33,113
34,product_34,127
35,product_35,142
36,product_36,60
37,product_37,89
38,product_38,60
39,product_39,57
40,product_40,118
41,product_41,75
42,product_42,6
43,product_43,107
44,product_44,143
45,product_45,26
46,product_46,48
47,product_47,76
48,product_48,31
49,product_49,86
50,product_50,129
51,product_51,109
52,product_52,130
53,product_53,49
54,product_54,78
55,product_55,73
56,product_56,128
57,product_57,130
58,product_58,101
59,product_59,9
60,product_60,123
61,product_61,63
62,product_62,104
63,product_63,107
64,product_64,45
65,product_65,94
66,product_66,141
67,product_67,96
68,product_68,23
69,product_69,113
70,product_70,131
71,product_71,28
72,product_72,42
73,product_73,134
74,product_74,101
75,product_75,95
76,product_76,126
77,product_77,8
78,product_78,121
79,product_79,12
80,product_80,79
81,product_81,149
82,product_82,101
83,product_83,44
84,product_84,44
85,product_85,129
86,product_86,59
87,product_87,4
88,product_88,52
89,product_89,139
90,product_90,141
91,product_91,60
92,product_92,104
93,product_93,132
94,product_94,89
95,product_95,148
96,product_96,91
97,product_97,118
98,product_98,69
99,product_99,141
100,product_100,2
101,product_101,99
102,product_102,132
103,product_103,34
104,product_104,133
105,product_105,144
106,product_106,53
107,product_107,110
108,product_108,15
109,product_109,124
110,product_110,94
111,product_111,146
112,product_112,142
113,product_113,52
114,product_114,130
115,product_115,106
116,product_116,125
117,product_117,92
118,product_118,107
119,product_119,89
120,product_120,1
121,product_121,138
122,product_122,139
123,product_123,85
124,product_124,118
125,product_125,8
126,product_126,59
127,product_127,46
128,product_128,141
129,product_129,150
130,product_130,47
131,product_131,24
132,product_132,142
133,product_133,66
134,product_134,9
135,product_135,19
136,product_136,22
137,product_137,5
138,product_138,116
139,product_139,4
140,product_140,72
141,product_141,64
142,product_142,69
143,product_143,29
144,product_144,48
145,product_145,89
146,product_146,75
147,product_147,18
148,product_148,43
149,product_149,41
150,product_150,66
151,product_151,136
152,product_152,44
153,product_153,70
154,product_154,76
155,product_155,117
156,product_156,83
157,product_157,128
158,product_158,122
159,product_159,30
160,product_160,7
161,product_161,80
162,product_162,99
163,product_163,88
164,product_164,108
165,product_165,49
166,product_166,67
167,product_167,28
168,product_168,65
169,product_169,131
170,product_170,54
171,product_171,111
172,product_172,6
173,product_173,58
174,product_174,5
175,product_175,102
176,product_176,38
177,product_177,10
178,product_178,42
179,product_179,115
180,product_180,130
181,product_181,110
182,product_182,140
183,product_183,57
184,product_184,133
185,product_185,116
186,product_186,58
187,product_187,135
188,product_188,8
189,product_189,102
190,product_190,148
191,product_191,83
192,product_192,110
193,product_193,16
194,product_194,77
195,product_195,33
196,product_196,55
197,product_197,13
198,product_198,79
199,product_199,19
200,product_200,20
201,product_201,80
202,product_202,77
203,product_203,41
204,product_204,107
205,product_205,145
206,product_206,65
207,product_207,34
208,product_208,3
209,product_209,144
210,product_210,10
211,product_211,56
212,product_212,146
213,product_213,118
214,product_214,44
215,product_215,131
216,product_216,10
217,product_217,97
218,product_218,52
219,product_219,89
220,product_220,26
221,product_221,53
222,product_222,147
223,product_223,111
224,product_224,50
225,product_225,127
226,product_226,27
227,product_227,100
228,product_228,76
229,product_229,130
230,product_230,128
231,product_231,5
232,product_232,84
233,product_233,103
234,product_234,73
235,product_235,5
236,product_236,41
237,product_237,52
238,product_238,84
239,product_239,145
240,product_240,35
241,product_241,87
242,product_242,110
243,product_243,55
244,product_244,69
245,product_245,25
246,product_246,98
247,product_247,141
248,product_248,89
249,product_249,137
250,product_250,125
251,product_251,137
252,product_252,61
253,product_253,17
254,product_254,11
255,product_255,22
256,product_256,35
257,product_257,44
258,product_258,43
259,product_259,138
260,product_260,55
261,product_261,69
262,product_262,86
263,product_263,130
264,product_264,66
265,product_265,95
266,product_266,87
267,product_267,88
268,product_268,30
269,product_269,75
270,product_270,61
271,product_271,126
272,product_272,35
273,product_273,149
274,product_274,142
275,product_275,27
276,product_276,83
277,product_277,11
278,product_278,105
279,product_279,19
280,product_280,98
281,product_281,38
282,product_282,33
283,product_283,88
284,product_284,30
285,product_285,97
286,product_286,20
287,product_287,147
288,product_288,141
289,product_289,58
290,product_290,145
291,product_291,21
292,product_292,69
293,product_293,94
294,product_294,76
295,product_295,145
296,product_296,137
297,product_297,30
298,product_298,118
299,product_299,71
300,product_300,28
301,product_301,12
302,product_302,76
303,product_303,4
304,product_304,4
305,product_305,24
306,product_306,106
307,product_307,30
308,product_308,11
309,product_309,49
310,product_310,62
311,product_311,108
312,product_312,42
313,product_313,30
314,product_314,116
315,product_315,43
316,product_316,62
317,product_317,41
318,product_318,27
319,product_319,112
320,product_320,97
321,product_321,139
322,product_322,76
323,product_323,141
324,product_324,65
325,product_325,123
326,product_326,81
327,product_327,26
328,product_328,54
329,product_329,82
330,product_330,11
331,product_331,7
332,product_332,3
333,product_333,76
334,product_334,82
335,product_335,116
336,product_336,101
337,product_337,81
338,product_338,103
339,product_339,17
340,product_340,17
341,product_341,82
342,product_342,117
343,product_343,29
344,product_344,65
345,product_345,56
346,product_346,139
347,product_347,121
348,product_348,92
349,product_349,67
350,product_350,47
351,product_351,139
352,product_352,54
353,product_353,79
354,product_354,51
355,product_355,64
356,product_356,93
357,product_357,21
358,product_358,72
359,product_359,23
360,product_360,115
361,product_361,24
362,product_362,148
363,product_363,87
364,product_364,59
365,product_365,100
366,product_366,79
367,product_367,11
368,product_368,84
369,product_369,48
370,product_370,82
371,product_371,149
372,product_372,78
373,product_373,63
374,product_374,86
375,product_375,26
376,product_376,140
377,product_377,149
378,product_378,24
379,product_379,63
380,product_380,57
381,product_381,6
382,product_382,63
383,product_383,103
384,product_384,19
385,product_385,69
386,product_386,142
387,product_387,19
388,product_388,20
389,product_389,6
390,product_390,3
391,product_391,75
392,product_392,92
393,product_393,127
394,product_394,121
395,product_395,40
396,product_396,26
397,product_397,129
398,product_398,84
399,product_399,20
400,product_400,131
401,product_401,45
402,product_402,46
403,product_403,39
404,product_404,37
405,product_405,82
406,product_406,79
407,product_407,28
408,product_408,132
409,product_409,76
410,product_410,33
411,product_411,53
412,product_412,37
413,product_413,140
414,product_414,9
415,product_415,81
416,product_416,142
417,product_417,53
418,product_418,46
419,product_419,77
420,product_420,111
421,product_421,138
422,product_422,41
423,product_423,13
424,product_424,64
425,product_425,65
426,product_426,17
427,product_427,115
428,product_428,111
429,product_429,141
430,product_430,65
431,product_431,139
432,product_432,113
433,product_433,138
434,product_434,117
435,product_435,3
436,product_436,102
437,product_437,87
438,product_438,44
439,product_439,67
440,product_440,125
441,product_441,7
442,product_442,107
443,product_443,147
444,product_444,5
445,product_445,16
446,product_446,91
447,product_447,149
448,product_448,36
449,product_449,33
450,product_450,36
451,product_451,67
452,product_452,71
453,product_453,102
454,product_454,145
455,product_455,103
456,product_456,45
457,product_457,23
458,product_458,60
459,product_459,125
460,product_460,2
461,product_461,46
462,product_462,136
463,product_463,82
464,product_464,129
465,product_465,113
466,product_466,58
467,product_467,62
468,product_468,81
469,product_469,127
470,product_470,123
471,product_471,58
472,product_472,106
473,product_473,87
474,product_474,144
475,product_475,71
476,product_476,57
477,product_477,13
478,product_478,19
479,product_479,131
480,product_480,95
481,product_481,41
482,product_482,131
483,product_483,53
484,product_484,80
485,product_485,77
486,product_486,77
487,product_487,142
488,product_488,96
489,product_489,43
490,product_490,119
491,product_491,22
492,product_492,32
493,product_493,132
494,product_494,147
495,product_495,97
496,product_496,46
497,product_497,40
498,product_498,65
499,product_499,110
500,product_500,56
501,product_501,146
502,product_502,14
503,product_503,127
504,product_504,101
505,product_505,90
506,product_506,99
507,product_507,132
508,product_508,43
509,product_509,140
510,product_510,11
511,product_511,135
512,product_512,24
513,product_513,66
514,product_514,26
515,product_515,69
516,product_516,22
517,product_517,36
518,product_518,21
519,product_519,114
520,product_520,62
521,product_521,98
522,product_522,111
523,product_523,102
524,product_524,43
525,product_525,84
526,product_526,113
527,product_527,33
528,product_528,125
529,product_529,55
530,product_530,31
531,product_531,111
532,product_532,137
533,product_533,105
534,product_534,31
535,product_535,76
536,product_536,72
537,product_537,64
538,product_538,97
539,product_539,144
540,product_540,2
541,product_541,49
542,product_542,136
543,product_543,113
544,product_544,149
545,product_545,6
546,product_546,8
547,product_547,63
548,product_548,67
549,product_549,53
550,product_550,45
551,product_551,73
552,product_552,38
553,product_553,139
554,product_554,52
555,product_555,70
556,product_556,80
557,product_557,150
558,product_558,65
559,product_559,115
560,product_560,44
561,product_561,140
562,product_562,92
563,product_563,126
564,product_564,108
565,product_565,32
566,product_566,54
567,product_567,147
568,product_568,99
